mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.1050039291381836,0.007266059409651072,0.014959430694580078,0.004415375609070473,entropy,5,10,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 10}",0.8336745138178097,0.8398157625383829,0.8321392016376663,0.8341013824884793,0.8341013824884793,0.8347664485941635,0.002625831117318195,10
0.1188887119293213,0.019271583533923834,0.025237035751342774,0.013209693365239401,entropy,5,20,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 20}",0.8326509723643808,0.8362333674513818,0.8295803480040942,0.8341013824884793,0.8346134152585766,0.8334358971133826,0.0022421697462254747,14
0.08826732635498047,0.02417573575937257,0.010372400283813477,0.002409867362910095,entropy,5,50,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 50}",0.8336745138178097,0.8362333674513818,0.8357215967246674,0.8325652841781874,0.8325652841781874,0.8341520092700467,0.0015530004248480937,11
0.10631542205810547,0.02729579415577873,0.01595935821533203,0.0033972442441622514,entropy,5,100,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 100}",0.8285568065506653,0.8300921187308086,0.8346980552712385,0.8259088581669227,0.8259088581669227,0.8290329393773115,0.0032545927020540552,32
0.0827850341796875,0.013938444907750529,0.013760948181152343,0.005965319900045239,entropy,5,150,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 150}",0.8219037871033776,0.8172978505629478,0.8290685772773797,0.8161802355350742,0.8141321044546851,0.8197165109866928,0.005325149375291984,48
0.1069138526916504,0.01783275444129289,0.012766408920288085,0.006979973133702972,entropy,10,5,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 5}",0.8254861821903787,0.8306038894575231,0.8316274309109519,0.8351254480286738,0.8253968253968254,0.8296479551968705,0.0037477332154298264,31
0.12003345489501953,0.013825917481080606,0.011169242858886718,0.004434598685316979,entropy,10,10,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 10}",0.8280450358239508,0.834186284544524,0.8357215967246674,0.8356374807987711,0.8248847926267281,0.8316950381037284,0.004419599476416729,17
0.08787450790405274,0.0235025087657722,0.010771751403808594,0.004477618295148636,entropy,10,20,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 20}",0.8224155578300921,0.8382804503582395,0.8352098259979529,0.8387096774193549,0.8315412186379928,0.8332313460487265,0.0059876165090811916,15
0.08277835845947265,0.011458642636488865,0.008975934982299805,0.004183542500546583,entropy,10,50,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 50}",0.8408393039918116,0.8413510747185261,0.8444216990788127,0.8269329237071172,0.8346134152585766,0.8376316833509689,0.006225759650025819,4
0.07978515625,0.009163672696409038,0.007582664489746094,0.0023285194243478574,entropy,10,100,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 100}",0.834186284544524,0.827021494370522,0.838792221084954,0.8177163338453661,0.8238607270865336,0.82831541218638,0.007457741900532585,33
0.08837838172912597,0.014146945936464187,0.017354917526245118,0.009391797075991642,entropy,10,150,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 150}",0.8275332650972365,0.8167860798362334,0.8290685772773797,0.8166922683051715,0.8084997439836149,0.8197159868999272,0.007643456284723864,49
